review,Improvement Suggestions,Questions and Answers,Experience Sharing,Technical Feedback,Support Request,Community Interaction,Course Comparison,Related Course Suggestions,not_praise
Thank you very much Prof. Scott Klemmer and other professors for your detailed and patient teaching and all the classmates for helping me during the process of study on Interaction Design in the past year. Ive learnt a lot and Ive made many friends! Glad to have been part of this study group! Ill keep learning here!,0.0,0,1,0,0,1.0,0,0,0
"It could be much better. The experience is old LMS not MOOC like.. There is lack of peer assignment, forum is silent. Lecture is in boring format/tone (to slow), quizzes are boring (single or multiply choice questions - can be solve by tries and errors, open questions are ambiguous).I like content of this course (I learned few new things), but you have to work on form...",1.0,0,0,1,0,1.0,0,0,1
very interesting,0.0,0,0,0,0,0.0,0,0,1
"Much more useful than the first course. It was very interesting to see that methodology has a different approaach according to the purpose of the class that is not necessarily communication. Great experience Although I think that the questions for peer revision are so general aand vague that one is almost forced to give a good grade even if the assignment is just a re-telling of what was presented on the video, sometimes even word by word.",0.0,0,1,0,0,0.0,0,0,0
"This course was very nicely done. Dr Ngs videos and narrative were excellent. They were long enough to convey the material properly and short enough not to loose my attention. Assignments were very good as they left you just enough room to fail, learn and ultimately succeed. The quizzes were thought provoking. On the questions that stated choose all that apply, I would suggest that some form of feedback be provided so that the test taker could know which ones were incorrectly selected/not selected. Perhaps partial credit would be good instead of 0/20 with one wrong selection. Feedback, perhaps an explanation, would be appropriate on all questions incorrectly answered.I would also suggest a pdf document that showed how to do the various matrix operations in octave with an example or two. This would include basic and advanced operations. I know linear algebra, I just didnt know the syntax in octave and this cost me 3-5 hours over the whole course.Now off to do some simple applications here at work like spam filter and anomaly detection to start. Thanks for an excellent course.",1.0,0,0,0,0,0.0,0,0,0
"I recommend this course for all who want to learn the language.It is well organized.Easy to follow.Contains important topics which u need for your daily life in Korea.You wont loose your time.On the other side, the quizzes, I think, are too short or too easy.It would also be perfect, if we are able to record our own sentences or write it and get feedback.",1.0,0,0,0,0,0.0,0,0,0
"She didnt seem interested at all in what she was teaching. She had a frown the entire time. Maybe she was trying to be professional? Either way, I didnt feel like she liked what she was doing.These were good tips for people in a new business management position, but honestly this was all stuff you learn while socializing with people. They are generally good social skills that every one should have. I learned little to nothing while taking this class. But, as I said, most of this is directed towards to someone in a management position. I guess this would be helpful when having to work with someone who is a drama-maker, although, fortunately, I have not had a situation yet with someone who creates drama. Yes, I know people who create drama, however, there have been no blowouts or severe problems. Maybe this is the reason why I didnt learn anything in this class... :-(",0.0,0,0,0,0,0.0,0,0,1
"This is an interesting course, which is closely related to the graph theory in mathematics. As the previous courses, programming assignments are given every week but it is slightly harder than before. Some pseudo codes are not that easy to convert into the programming language. Yet, it is one of the excellent courses in Coursera.",0.0,0,1,0,0,0.0,0,0,0
Very informati,0.0,0,0,0,0,0.0,0,0,1
"Both of the Ancient Philosophy courses, Plato and His Predecessors, and Aristotle and His Successors were excellent. Susan is a very good lecturer, clear, and precise.I have completed Introduction to Philosophy and the Philosophy of Science, both at the University of Edinburgh, and can highly recommend Susans courses at University of Pennsylvania as the next step.",0.0,0,0,0,0,0.0,1,1,0
"The course was ported to the new Coursera platform in a amateurish way without any testing. Learners have been complaining on the forums for months about bugs and missing information in the assessments, and they are still not fixed. The content is generally interesting, but not presented in a cohesive way. Many concepts are juggled with without giving clear, mathematical definitions.",1.0,0,0,1,1,0.0,0,0,1
I found this course to be excellent for giving me the confidence to get back into learning. Im now looking into courses that will help me change direction to a more fulfilling career. Its helped me realise some important life rules: procrastination is not my friend and the pomorodo technique can be applied to pretty much anything - especially housework!,0.0,0,1,0,0,0.0,0,0,0
Very interesting! It was a nice option to get into Couseras courses. It makes us feel a little less dumb and brings some useful tools.,0.0,0,1,0,0,0.0,0,0,1
Good coverage in a very fast intro to the subject. Definitely take away some things I am able to put into use in my work. I get the feeling this is quite a new course (compared with the very well established Data Science Specialization) and does not have the student interaction base yet. I hope this aspect develops - perhaps even with the TAs. For this level course student interaction could be even more valuable than the more hands on data science subjects. Hope this specialization takes off as well as the DSS did!,0.0,0,0,0,0,1.0,0,0,0
Following are the scope of improvement -1) The flash lessons could have been provided in some kind of downloadable format (preferably PDF)2) Actual examples of Project Charter and Project Management Plan could have been provided. This would have made it easier to relate theory (of this course) with (actual) practice.,1.0,0,0,0,0,0.0,0,0,1
"Good course, but it seems there are some errors in the quiz and labs",0.0,0,0,1,0,0.0,0,0,1
"I really enjoy the lessons because they show me the professional structure of the fashion industry and the main players in luxury. The examples were perfect to illustrate every chapter. It was interactive, worthed and glamorous. I enjoyed how fierce are Italians of the Made in Italy label and I understood a little more of this concept thanks to the explanations in the videos. I recommend it 100 % !",0.0,0,1,0,0,0.0,0,0,0
"Course in not only just about theory of cyber security .But also ,It also accommodates psychological view to cyber world . This makes it more interesting .The brief part of law related to cyber security buttress the content maturity .However, More information on privacy should be added .If done ,course is a 5 star Course .Moreover, every lecture gives information.So, efficiently crafted out of course .Overall,its worth taking and worth time spending",1.0,0,0,0,0,0.0,0,0,0
"This is an excellent introduction to Chinese language and grammar. I think it could have some introduction to written Chinese because Pinyin is not so common. I struggled with some of the quizzes where written answers were given, even when my answers were correct some quizzes required stops (.) others didnt. Apart from that it was excellent.",1.0,1,0,0,0,0.0,0,0,0
Excellent course that both informs and inspires. There is a good deal of content as well as advice. The student writer is encouraged to explore and be unafraid. The only draw back is that the online classroom does not allow the auditing students to post and get feedback on their assignments and it must be done externally to fully get the benefit of our fellow students.,0.0,0,0,0,0,1.0,0,0,0
"Dr. Maya has done a fantastic job of creating this easy-to-follow course which covers a wide range of fundamental knowledge everyone should know! I work with kids and whilst education is merely one side of it, ensuring they receive good nutrition is equally important. Thank you Dr. Maya!",0.0,0,1,0,0,0.0,0,0,0
"An excellent course for those interested in an introduction to classical studies. I studied roman history and latin at high school, and I was eager to learn more about the ancient greeks. This course provided me a great introduction. And it raised my interest in reading ancient greek authors. That was the strongest point for me: no need of animation, I liked the invitation to read ancient texts.",0.0,0,1,0,0,0.0,0,0,0
Good for starters. But could have been more practical than theoretical.,0.0,0,0,0,0,0.0,0,0,1
